point_id,section_id,sequence_in_section,category,extra_categories,naming_observation,name_catalogue,name_topos,modern_location,recension,lon_ptolemy,lat_ptolemy,match_score,topos_id,revision_notes
2.02.02.01,2.02.02,1,coast,,matches cape pattern (Spitze/Vorgebirge/Promont),Nordspitze,"Setting of Hivernia British island A description of the north coast, beyond which is located the Hyperborean ocean: Boreum promontory",,Omega,11.0,61.0,100.0,2.2.1.1,
2.02.02.02,2.02.02,2,coast,,contains 'Kap' (cape) - coastal regardless of any mountain-range aside,Kap Vennicnium,Vennicnium promontory,,Omega,12.8333333333333,61.3333333333333,100.0,2.2.1.2,
2.02.02.03,2.02.02,3,river_mouth,,"matches 'Mündung' (river mouth) - coastal, colored separately",Vidua-Mündung (Udia-Mündung),mouth of the Vidua river,,Omega,13.0,61.0,100.0,2.2.1.3,
2.02.02.04,2.02.02,4,river_mouth,,"matches 'Mündung' (river mouth) - coastal, colored separately",Argita-Mündung,mouth of the Argita river,,Omega,14.5,61.5,100.0,2.2.1.4,
2.02.02.05,2.02.02,5,coast,,contains 'Kap' (cape) - coastal regardless of any mountain-range aside,Kap Robogdium,Rhobogdium promontory,Fair Head,Omega,16.3333333333333,61.5,100.0,2.2.1.5,
2.02.04.02,2.02.04,2,coast,,matches cape pattern (Spitze/Vorgebirge/Promont),Nordspitze,"Setting of Hivernia British island A description of the north coast, beyond which is located the Hyperborean ocean: Boreum promontory",,Omega,11.0,61.0,100.0,2.2.1.1,
2.02.04.03,2.02.04,3,river_mouth,,"matches 'Mündung' (river mouth) - coastal, colored separately",Ravius-Mündung,mouth of the Ravius river,,Omega,11.3333333333333,60.6666666666667,100.0,2.2.3.2,
2.02.04.04,2.02.04,4,coast,,no specific keyword match; section header names a sea/ocean/gulf,Nagnata (Magnata),Magnata city,,Omega,11.25,60.25,100.0,2.2.3.3,
2.02.04.05,2.02.04,5,river_mouth,,"matches 'Mündung' (river mouth) - coastal, colored separately",Libnius-Mündung,mouth of the Libnius river,,Omega,10.5,60.0,100.0,2.2.3.4,
2.02.04.06,2.02.04,6,river_mouth,,"matches 'Mündung' (river mouth) - coastal, colored separately",Ausoba-Mündung,mouth of the Ausoba river,,Omega,10.5,59.5,100.0,2.2.3.5,
