ref_id,name,category,book,tabula,modern_location,recension,lon_ptolemy,lat_ptolemy,naming_observation,feature_id,sequence_in_feature,feature_closes_loop,river_feature_id,river_sequence_in_feature,island_feature_id,island_sequence_in_feature,island_feature_closes_loop,mountain_feature_id,mountain_sequence_in_feature
2.02.02.01,Nordspitze,coast,Europe,EU01,,Omega,11.0,61.0,matches cape pattern (Spitze/Vorgebirge/Promont),coastline_000_EU01,4,1,,,,,,,
2.02.02.02,Kap Vennicnium,coast,Europe,EU01,,Omega,12.8333333333333,61.3333333333333,contains 'Kap' (cape) - coastal regardless of any mountain-range aside,coastline_000_EU01,3,1,,,,,,,
2.02.02.03,Vidua-Mündung (Udia-Mündung),river_mouth,Europe,EU01,,Omega,13.0,61.0,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_000_EU01,2,1,,,,,,,
2.02.02.04,Argita-Mündung,river_mouth,Europe,EU01,,Omega,14.5,61.5,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_000_EU01,1,1,,,,,,,
2.02.02.05,Kap Robogdium,coast,Europe,EU01,Fair Head,Omega,16.3333333333333,61.5,contains 'Kap' (cape) - coastal regardless of any mountain-range aside,coastline_000_EU01,0,1,,,,,,,
2.02.04.02,Nordspitze,coast,Europe,EU01,,Omega,11.0,61.0,matches cape pattern (Spitze/Vorgebirge/Promont),,,,,,,,,,
2.02.04.03,Ravius-Mündung,river_mouth,Europe,EU01,,Omega,11.3333333333333,60.6666666666667,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_000_EU01,5,1,,,,,,,
2.02.04.04,Nagnata (Magnata),coast,Europe,EU01,,Omega,11.25,60.25,no specific keyword match; section header names a sea/ocean/gulf,coastline_000_EU01,6,1,,,,,,,
2.02.04.05,Libnius-Mündung,river_mouth,Europe,EU01,,Omega,10.5,60.0,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_000_EU01,7,1,,,,,,,
2.02.04.06,Ausoba-Mündung,river_mouth,Europe,EU01,,Omega,10.5,59.5,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_000_EU01,8,1,,,,,,,
2.02.04.07,Senus-Mündung,river_mouth,Europe,EU01,Shannon-Mündung,Omega,9.5,59.5,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_000_EU01,9,1,,,,,,,
2.02.04.08,Dur-Mündung,river_mouth,Europe,EU01,,Omega,9.66666666666667,58.6666666666667,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_000_EU01,10,1,,,,,,,
2.02.04.09,Iernus-Mündung,river_mouth,Europe,EU01,,Omega,8.0,58.0,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_000_EU01,11,1,,,,,,,
2.02.04.10,Südspitze,coast,Europe,EU01,,Omega,7.66666666666667,57.75,matches cape pattern (Spitze/Vorgebirge/Promont),coastline_000_EU01,12,1,,,,,,,
2.02.06.02,Südspitze,coast,Europe,EU01,,Omega,7.66666666666667,57.75,matches cape pattern (Spitze/Vorgebirge/Promont),,,,,,,,,,
