book,map,section,position,name_phrase,lon_dms,lat_dms,lon_decimal,lat_decimal,catalogue_matched,catalogue_ref_id,catalogue_name,catalogue_match_score
2,2,1,1,"Setting of Hivernia British island A description of the north coast, beyond which is located the Hyperborean ocean: Boreum promontory",11°00',61°00',11.0,61.0,yes,2.02.02.01,Nordspitze,100.0
2,2,1,2,Vennicnium promontory,12°50',61°20',12.8333,61.3333,yes,2.02.02.02,Kap Vennicnium,100.0
2,2,1,3,mouth of the Vidua river,13°00',61°00',13.0,61.0,yes,2.02.02.03,Vidua-Mündung (Udia-Mündung),100.0
2,2,1,4,mouth of the Argita river,14°30',61°30',14.5,61.5,yes,2.02.02.04,Argita-Mündung,100.0
2,2,1,5,Rhobogdium promontory,16°20',61°30',16.3333,61.5,yes,2.02.02.05,Kap Robogdium,100.0
2,2,3,1,Boreum promontory,11°00',61°00',11.0,61.0,yes,2.02.02.01,Nordspitze,100.0
2,2,3,2,mouth of the Ravius river,11°20',60°40',11.3333,60.6667,yes,2.02.04.03,Ravius-Mündung,100.0
2,2,3,3,Magnata city,11°15',60°15',11.25,60.25,yes,2.02.04.04,Nagnata (Magnata),100.0
2,2,3,4,mouth of the Libnius river,10°30',60°00',10.5,60.0,yes,2.02.04.05,Libnius-Mündung,100.0
2,2,3,5,mouth of the Ausoba river,10°30',59°30',10.5,59.5,yes,2.02.04.06,Ausoba-Mündung,100.0
2,2,3,6,mouth of the Senus river,9°30',59°30',9.5,59.5,yes,2.02.04.07,Senus-Mündung,100.0
2,2,3,7,mouth of the Duris river,9°40',58°40',9.6667,58.6667,yes,2.02.04.08,Dur-Mündung,100.0
2,2,3,8,mouth of the Iernus river,8°00',58°00',8.0,58.0,yes,2.02.04.09,Iernus-Mündung,100.0
2,2,3,9,Southern promontory,7°40',57°45',7.6667,57.75,yes,2.02.04.10,Südspitze,100.0
2,2,5,1,southern promontory,7°40',57°40',7.6667,57.6667,yes,2.02.04.10,Südspitze,100.0
2,2,5,2,mouth of the Dabrona river,11°15',57°00',11.25,57.0,yes,2.02.06.03,Dabrona-Mündung,100.0
2,2,5,3,mouth of the Birgus river,12°30',57°30',12.5,57.5,yes,2.02.06.04,Birgus-Mündung,100.0
2,2,5,4,Sacred promontory,14°00',57°50',14.0,57.8333,yes,2.02.06.05,Heiliges Kap,73.3
2,2,7,1,Sacred promontory,14°00',57°50',14.0,57.8333,yes,2.02.06.05,Heiliges Kap,73.3
2,2,7,2,mouth of the Modonnus river,13°40',58°40',13.6667,58.6667,yes,2.02.08.03,Modonus-Mündung (Modnunnus-Mündung),100.0
2,2,7,3,Manapia town,13°30',58°40',13.5,58.6667,yes,2.02.08.04,Manapia,100.0
2,2,7,4,mouth of the Oboca river,13°10',59°00',13.1667,59.0,yes,2.02.08.05,Oboca-Mündung,100.0
2,2,7,5,Eblana city,14°00',59°30',14.0,59.5,yes,2.02.08.06,Eblana,100.0
2,2,7,6,mouth of the Bubindas river,14°40',59°40',14.6667,59.6667,yes,2.02.08.07,Buvinda-Mündung,100.0
2,2,7,7,Isamnium promontory,15°00',60°00',15.0,60.0,yes,2.02.08.08,Kap Isamnium (Isamnium),100.0
2,2,7,8,mouth of the Vinderis river,15°00',60°15',15.0,60.25,yes,2.02.08.09,Vinderis-Mündung,100.0
2,2,7,9,mouth of the Logia river,15°20',60°40',15.3333,60.6667,yes,2.02.08.10,Logia-Mündung,100.0
2,2,9,1,The following are the inland towns: Regia,13°00',60°20',13.0,60.3333,yes,2.02.10.01,Regia 1,100.0
2,2,9,2,Rhaeba,12°00',59°45',12.0,59.75,yes,2.02.10.02,Raeba* (Reba*),100.0
2,2,9,3,Laberus,13°00',59°15',13.0,59.25,yes,2.02.10.03,Laberus,100.0
2,2,9,4,Macolicum,11°30',58°40',11.5,58.6667,yes,2.02.10.04,Macolicum,100.0
2,2,9,5,another Regia,11°00',59°15',11.0,59.25,yes,2.02.10.05,Regia 2,68.3
2,2,9,6,Dunum,12°30',58°45',12.5,58.75,yes,2.02.10.06,Dunum,100.0
2,2,9,7,Hibernis,11°00',58°10',11.0,58.1667,yes,2.02.10.07,Hibernis* (Iernis*),100.0
2,2,10,1,"Above Hibernia are the Ebuda islands five in number, the largest of which toward the west is called Ebuda",15°00',62°00',15.0,62.0,yes,2.02.11.03,Ebuda 1,100.0
2,2,10,2,to this toward the east likewise is Ebuda island,15°40',62°00',15.6667,62.0,yes,2.02.11.04,Ebuda 2,100.0
2,2,10,3,Rhicina,17°00',62°00',17.0,62.0,yes,2.02.11.05,Ricina,100.0
2,2,10,4,Malaeus,17°30',62°30',17.5,62.5,yes,2.02.11.06,Maleus (Malaeus),87.8
2,2,10,5,Epidium,18°30',62°00',18.5,62.0,yes,2.02.11.07,Epidium,100.0
2,2,10,6,Toward the east of Hibernia are these islands: Monaoeda island,17°40',61°30',17.6667,61.5,yes,2.02.12.02,Monaoeda (Monarina),100.0
2,2,10,7,Mona island,15°00',57°40',15.0,57.6667,yes,2.02.12.03,Mona,100.0
2,2,10,8,Adru which is barren,15°00',59°30',15.0,59.5,yes,2.02.12.04,Edrus (Adrus),100.0
2,2,10,9,Limnu which is barren,15°00',59°00',15.0,59.0,yes,2.02.12.05,Limnus,100.0
2,3,1,1,"The position of Albion island of Britannia. A description of the northern coast, above which is the Duecaledonius ocean. Novantarum peninsula, and promontory of the same name",21°00',61°40',21.0,61.6667,yes,2.03.01.03,Halbinsel der Novanten und Kap,100.0
2,3,1,2,Rerigonius bay,20°30',60°50',20.5,60.8333,yes,2.03.01.04,Golf von Rerigonium,100.0
2,3,1,3,Vindogara bay,21°20',60°30',21.3333,60.5,yes,2.03.01.05,Golf von Vindogara,100.0
2,3,1,4,Clota estuary,22°15',59°20',22.25,59.3333,yes,2.03.01.06,Clota-Ästuar,95.8
